#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-22T21:01:16 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-22T21:01:16	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/257/43/galaxies&-out.max=150&-out.all=1	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22570043
#Name: J/ApJS/257/43
#Title: PHANGS-ALMA: arcsecond CO(2-1) imaging of galaxies (Leroy+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/apjs/257/43	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/257/43	    IVOID of underlying data collection
#INFO	creator=Leroy A.K.	    First author or institution
#INFO	cites=bibcode:2021ApJS..257...43L	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/257/43	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22570043	    Dataset identifier that can be used for citation
#INFO	publication_date=2022-06-13	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_257_43_galaxies:
#Name: J/ApJS/257/43/galaxies
#Title: PHANGS-ALMA physical properties and cube properties for the 90 star-forming galaxies (Tables 3, 4 and 16)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a10)	Galaxy name	[ucd=meta.id;meta.main]
#Column	f_Name	(A1)	X=Galaxy is an extension to the main sample	[ucd=meta.code]
#Column	RAJ2000	(A10)	Hour of Right Ascension (J2000) (1)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Degree of Declination (J2000) (1)	[ucd=pos.eq.dec;meta.main]
#Column	vlsr	(F6.1)	[-226/2389] Mean velocity relative to LSR (2)	[ucd=phys.veloc;pos.lsr]
#Column	e_vlsr	(F4.1)	[1.3/33.1] Uncertainty in vlsr (2)	[ucd=stat.error;phys.veloc;pos.lsr]
#Column	PA	(F5.1)	[-14.8/359.1] Orientation, position angle (2)	[ucd=pos.posAng]
#Column	e_PA	(F4.1)	[0.1/10] Uncertainty in PA (2)	[ucd=stat.error]
#Column	i	(F4.1)	[8.9/90] Orientation, inclination (2)	[ucd=pos.posAng]
#Column	e_i	(F4.1)	[0.2/43.4] Uncertainty in i (2)	[ucd=stat.error]
#Column	Dist	(F5.2)	[2/23.6] Distance	[ucd=pos.distance]
#Column	e_Dist	(F5.2)	[0.09/6] Uncertainty in Dist	[ucd=stat.error]
#Column	r_Dist	(A5)	References for Dist (3)	[ucd=meta.ref;pos.frame]
#Column	logMstar	(F5.2)	[9.18/11.15] Log of stellar mass	[ucd=phys.mass]
#Column	f_logMstar	(A1)	Source for logMstar (4)	[ucd=meta.code]
#Column	r25	(F4.1)	[3.4/34.2] RC3 25th mag isophotal B-band radius (5)	[ucd=phys.size.radius]
#Column	Re	(F4.1)	[0.9/7.3] Estimated half-mass radius	[ucd=phys.size.radius]
#Column	lstar	(F4.1)	[0.7/13.1] Stellar scale length	[ucd=src.morph.scLength]
#Column	logSFR	(F5.2)	[-1.59/1.64] Log of star formation rate	[ucd=phys.SFR]
#Column	f_logSFR	(A6)	Source for logSFR (6)	[ucd=meta.code]
#Column	l_logLCO	(A1)	Upper limit flag for logLCO (7)	[ucd=meta.code.error]
#Column	logLCO	(F5.2)	[6.61/9.49]? Log of CO luminosity	[ucd=phys.luminosity;em.line.CO]
#Column	Corr	(F5.2)	[0.97/4.24]? Correction factor	[ucd=instr.param]
#Column	logMHI	(F5.2)	[7.4/10.31]? Log of HI mass	[ucd=phys.mass]
#Column	Arrays	(A9)	Best available array combination	[ucd=instr.param]
#Column	Res1	(F5.2)	[0.6/8.7] Angular resolution of native cube	[ucd=pos.angResolution]
#Column	Res2	(F5.1)	[26.2/588.6] Physical resolution	[ucd=pos.angResolution]
#Column	Area1	(F4.1)	[0.7/98.7] Angular area mapped	[ucd=phys.angArea]
#Column	Area2	(F5.1)	[8.1/396.8] Physical area mapped	[ucd=phys.area]
#Column	Noise1	(I3)	[18/366] Noise in surface brightness, Native resolution in mK	[ucd=stat.snr]
#Column	Noise2	(I3)	[13/114]? Noise in surface brightness, 150pc	[ucd=stat.snr]
#Column	Noise3	(F5.1)	[1.3/128.1] Noise in surface brightness, Native resolution in mJy/beam	[ucd=instr.det.noise]
#Column	Comp1	(F4.1)	[1.7/97] Completeness, Native resolution (8)	[ucd=meta.note]
#Column	f_Comp1	(A1)	F=Faint galaxy, completeness is unreliable	[ucd=meta.code]
#Column	Comp2	(F5.1)	[0.9/180]? Completeness, 150pc (8)	[ucd=meta.note]
#Column	f_Comp2	(A1)	F=Faint galaxy, completeness is unreliable	[ucd=meta.code]
#Column	S4G	(I3)	Display data from Sheth+, 2010, J/PASP/122/1397	[ucd=meta.ref.url]
#Column	L19	(I3)	Display data from Leroy+, 2019, J/ApJS/244/24	[ucd=meta.ref.url]
#Column	Ntot	(I3)	Number of total power observations for this target (link to Table 11)	[ucd=meta.number]
#Column	N7m	(I3)	Number of 7m observations for this target (link to Table 12)	[ucd=meta.number]
#Column	N12m	(I3)	Number of 12m observations for this target (link to Table 13)	[ucd=meta.number]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	NED	(A3)	NED column added by the CDS	[ucd=meta.ref.url]
#Column	LEDA	(A4)	VizieR added column, not part of original data	[ucd=meta.ref.url]
recno	Name	f_Name	RAJ2000	DEJ2000	vlsr	e_vlsr	PA	e_PA	i	e_i	Dist	e_Dist	r_Dist	logMstar	f_logMstar	r25	Re	lstar	logSFR	f_logSFR	l_logLCO	logLCO	Corr	logMHI	Arrays	Res1	Res2	Area1	Area2	Noise1	Noise2	Noise3	Comp1	f_Comp1	Comp2	f_Comp2	S4G	L19	Ntot	N7m	N12m	Simbad	NED	LEDA
      38	NGC3507   	 	11 03 25.4	+18 08 08	 969.4	 5.0	 55.8	 1.3	21.7	11.3	23.55	 3.99	    2	10.40	I	10.0	 3.7	 2.3	 0.00	FUVW4 	 	 8.34	 1.17	 9.32	12m+7m+TP	 1.36	155.2	 5.1	239.9	 79	 79	  6.3	40.0	 	 40.0	 	  1	  1	  5	  5	  1	Simbad	NED	LEDA
      39	NGC3521   	 	11 05 48.6	-00 02 09	 798.0	 5.0	343.0	 0.6	68.8	 0.3	13.24	 1.96	    2	11.03	I	16.0	 3.9	 4.9	 0.57	FUVW4 	 	 8.98	 1.18	 9.83	12m+7m+TP	 1.33	 85.5	12.6	186.4	 61	 35	  4.7	85.2	 	 89.2	 	  1	  1	 16	 12	  7	Simbad	NED	LEDA
      40	NGC3596   	 	11 15 06.2	+14 47 13	1187.9	 5.0	 78.4	 1.0	25.1	11.0	11.30	 1.03	    6	 9.66	I	 6.0	 1.6	 2.0	-0.52	NUVW4 	 	 7.81	 1.13	 8.85	12m+7m+TP	 1.22	 66.9	 4.6	 49.3	128	 67	  8.3	47.4	 	 59.9	 	  1	  1	  9	  3	  1	Simbad	NED	LEDA
      41	NGC3599   	X	11 15 26.9	+18 06 37	 836.8	20.2	 41.9	10.0	23.0	 5.0	19.86	 2.73	 2,13	10.04	I	 6.9	 1.7	 2.0	-1.35	FUVW4 	<	 6.70	 1.35	     	12m+7m+TP	 0.66	 63.2	 0.7	 23.0	120	 50	  2.2	59.4	F	 54.8	F	  1	  1	  3	  5	  1	Simbad	NED	LEDA
      42	NGC3621   	 	11 18 16.3	-32 48 45	 724.3	 5.0	343.8	 0.3	65.8	 1.8	 7.06	 0.28	    5	10.06	W	 9.8	 2.7	 2.0	 0.00	FUVW4 	 	 8.13	 1.27	 9.66	12m+7m+TP	 1.82	 62.4	12.2	 51.4	 39	 16	  5.6	83.4	 	 87.8	 	  0	  1	 13	 12	  9	Simbad	NED	LEDA
      43	NGC3626   	 	11 20 03.8	+18 21 25	1470.7	 5.0	165.2	 2.0	46.6	 6.0	20.05	 2.34	 2,13	10.46	I	 8.6	 1.8	 2.1	-0.68	NUVW4 	 	 7.75	 1.14	 8.89	12m+7m+TP	 1.17	114.1	 1.9	 66.2	156	114	  9.3	33.9	F	 65.4	F	  1	  1	  3	  2	  1	Simbad	NED	LEDA
      44	NGC3627   	 	11 20 15.0	+12 59 29	 715.4	 5.0	173.1	 3.6	57.3	 1.0	11.32	 0.48	    6	10.84	I	16.9	 3.6	 3.7	 0.59	FUVW4 	 	 8.98	 1.16	 9.09	12m+7m+TP	 1.63	 89.2	11.8	128.4	 80	 45	  9.1	80.8	 	 85.3	 	  1	  1	 12	  3	  2	Simbad	NED	LEDA
      45	NGC4207   	 	12 15 30.4	+09 35 06	 606.6	 5.0	121.9	 2.0	64.5	 6.0	15.78	 2.34	    2	 9.72	I	 3.4	 1.4	 0.7	-0.72	FUVW4 	 	 7.71	 1.03	 8.58	12m+7m+TP	 1.22	 93.2	 1.6	 34.7	132	 85	  8.5	68.9	 	 73.7	 	  1	  1	  6	  1	  1	Simbad	NED	LEDA
      46	NGC4254   	 	12 18 49.6	+14 25 00	2388.2	 5.0	 68.1	 0.5	34.4	 1.0	13.10	 2.01	   14	10.42	I	 9.6	 2.4	 1.8	 0.49	FUVW4 	 	 8.93	 1.15	 9.48	12m+7m+TP	 1.78	113.1	12.7	184.1	 64	 45	  8.7	79.4	 	 82.4	 	  0	  1	 16	  4	  2	Simbad	NED	LEDA
      47	NGC4293   	 	12 21 12.8	+18 22 57	 926.2	 5.0	 48.3	 2.0	65.0	 6.0	15.76	 2.38	    7	10.52	I	14.3	 4.7	 2.8	-0.30	FUVW4 	 	 8.12	 1.57	 7.67	12m+7m+TP	 1.16	 89.0	 3.5	 73.5	130	 80	  7.6	66.7	 	 70.5	 	  1	  1	  8	  4	  1	Simbad	NED	LEDA
      48	NGC4298   	 	12 21 32.8	+14 36 22	1138.1	 5.0	313.9	 0.7	59.2	 0.8	14.92	 1.36	    5	10.04	I	 5.5	 3.0	 1.6	-0.34	FUVW4 	 	 8.26	 1.09	 8.87	12m+7m+TP	 1.59	114.7	 4.2	 79.8	 38	 25	  4.1	82.2	 	 85.7	 	  1	  1	  5	  4	  2	Simbad	NED	LEDA
      49	NGC4303   	 	12 21 54.9	+04 28 25	1559.8	 5.0	312.4	 2.5	23.5	 9.2	16.99	 3.02	    7	10.51	I	17.0	 3.4	 3.1	 0.73	FUVW4 	 	 9.00	 1.40	 9.67	12m+7m+TP	 1.81	149.3	 7.8	190.5	 82	 82	 11.5	73.1	 	 73.1	 	  1	  1	  7	  2	  1	Simbad	NED	LEDA
      50	NGC4321   	 	12 22 54.9	+15 49 20	1572.3	 5.0	156.2	 1.7	38.5	 2.4	15.21	 0.50	   11	10.75	I	13.5	 5.5	 3.6	 0.55	FUVW4 	 	 9.02	 1.25	 9.43	12m+7m+TP	 1.67	122.9	13.7	269.0	 89	 69	 10.7	69.2	 	 72.2	 	  1	  1	 18	  5	  2	Simbad	NED	LEDA
      51	NGC4424   	 	12 27 11.6	+09 25 14	 447.4	 5.0	 88.3	 2.0	58.2	 6.0	16.20	 0.69	    6	 9.93	I	 7.2	 3.7	 2.2	-0.53	FUVW4 	 	 7.59	 1.16	 8.30	12m+7m+TP	 1.14	 89.4	 1.4	 30.6	151	 89	  8.5	61.4	 	 69.4	 	  1	  1	  2	  1	  1	Simbad	NED	LEDA
      52	NGC4457   	 	12 28 59.0	+03 34 14	 886.0	 5.0	 78.7	 2.0	17.4	 6.0	15.10	 2.00	 2,13	10.42	I	 6.1	 1.5	 2.2	-0.52	FUVW4 	 	 8.21	 1.15	 8.36	12m+7m+TP	 1.11	 81.3	 2.2	 42.7	101	 52	  5.4	73.6	 	 80.7	 	  1	  1	  3	  2	  1	Simbad	NED	LEDA
      53	NGC4459   	X	12 29 00.0	+13 58 43	1190.1	11.0	108.8	10.0	47.0	 5.0	15.85	 2.18	 2,13	10.68	W	 9.6	 2.1	 3.3	-0.65	FUVW4 	 	 7.46	 2.41	     	12m+7m+TP	 0.64	 48.9	 0.7	 14.5	113	 34	  2.0	84.7	F	 79.8	F	  0	  1	  3	  4	  1	Simbad	NED	LEDA
      54	NGC4476   	X	12 29 59.1	+12 20 55	1962.7	 1.3	 27.4	10.0	60.1	 5.0	17.54	 2.41	 2,13	 9.81	W	 4.3	 1.2	 1.2	-1.39	FUVW4 	 	 7.05	 1.09	     	12m+7m+TP	 0.87	 73.9	 0.7	 18.2	 70	 32	  2.3	85.1	F	 97.9	F	  0	  1	  4	  5	  1	Simbad	NED	LEDA
      55	NGC4477   	X	12 30 02.2	+13 38 11	1362.2	33.1	 25.7	10.0	33.5	 5.0	15.76	 2.38	    7	10.59	W	 8.5	 2.1	 2.1	-1.10	FUVW4 	 	 6.76	 1.58	     	12m+7m+TP	 0.62	 47.2	 0.7	 14.6	125	 41	  2.0	52.2	F	 46.3	F	  0	  1	  3	  6	  1	Simbad	NED	LEDA
      56	NGC4496A  	 	12 31 39.3	+03 56 23	1721.8	 5.0	 51.1	 4.1	53.8	 3.5	14.86	 1.06	   11	 9.55	I	 7.3	 3.0	 1.9	-0.21	FUVW4 	 	 7.55	 1.15	 9.24	12m+7m+TP	 1.25	 90.3	 4.2	 77.8	104	 68	  7.0	29.6	 	 29.2	 	  0	  1	  6	  3	  1	Simbad	NED	LEDA
      57	NGC4535   	 	12 34 20.3	+08 11 53	1953.6	 5.0	179.7	 1.6	44.7	10.8	15.77	 0.37	   11	10.54	I	18.7	 6.3	 3.8	 0.34	FUVW4 	 	 8.61	 1.78	 9.56	12m+7m+TP	 1.56	119.1	 7.9	167.2	 83	 60	  8.6	60.6	 	 66.9	 	  1	  1	  9	  4	  1	Simbad	NED	LEDA
      58	NGC4536   	 	12 34 27.1	+02 11 18	1794.6	 5.0	305.6	 2.3	66.0	 2.9	16.25	 1.12	    6	10.40	I	16.7	 4.4	 2.7	 0.53	FUVW4 	 	 8.62	 1.06	 9.54	12m+7m+TP	 1.48	116.3	10.2	228.5	 44	 33	  4.2	80.8	 	 84.7	 	  1	  1	 18	 11	  5	Simbad	NED	LEDA
      59	NGC4540   	 	12 34 50.9	+15 33 06	1286.5	 5.0	 12.8	 4.3	28.7	28.7	15.76	 2.38	    7	 9.79	I	 5.0	 2.0	 1.4	-0.78	FUVW4 	 	 7.69	 1.16	 8.44	12m+7m+TP	 1.37	104.8	 1.9	 39.4	111	 76	  9.0	45.5	 	 52.6	 	  1	  1	  3	  2	  1	Simbad	NED	LEDA
      60	NGC4548   	 	12 35 26.5	+14 29 47	 482.7	 5.0	138.0	 2.0	38.3	 6.0	16.22	 0.38	   11	10.70	I	13.1	 5.4	 3.0	-0.28	FUVW4 	 	 8.16	 2.00	 8.84	12m+7m+TP	 1.69	132.7	 6.4	143.1	 49	 41	  6.1	40.6	 	 42.1	 	  1	  1	  7	  5	  1	Simbad	NED	LEDA
      61	NGC4569   	 	12 36 49.8	+13 09 46	-225.6	 5.0	 18.0	 2.0	70.0	 6.0	15.76	 2.38	    7	10.81	I	20.9	 5.9	 4.3	 0.12	FUVW4 	 	 8.81	 1.40	 8.84	12m+7m+TP	 1.69	128.9	 6.3	132.8	 47	 38	  5.9	81.6	 	 83.2	 	  1	  1	  7	  5	  2	Simbad	NED	LEDA
      62	NGC4571   	 	12 36 56.4	+14 13 02	 343.0	 5.0	217.5	 0.6	32.7	 2.1	14.90	 1.07	   15	10.10	I	 7.7	 3.8	 2.0	-0.54	FUVW4 	 	 7.88	 1.55	 8.70	12m+7m+TP	 1.18	 85.0	 3.9	 73.7	118	 70	  7.1	18.8	 	 31.7	 	  1	  1	  5	  3	  1	Simbad	NED	LEDA
      63	NGC4579   	 	12 37 43.5	+11 49 06	1516.7	 5.0	 91.3	 1.6	40.2	 5.6	21.00	 2.03	   16	11.15	I	15.3	 5.4	 4.4	 0.33	FUVW4 	 	 8.79	 1.38	 9.02	12m+7m+TP	 1.79	182.7	 8.2	304.5	 46	   	  6.4	60.3	 	     	 	  1	  1	  8	  7	  2	Simbad	NED	LEDA
      64	NGC4596   	X	12 39 55.9	+10 10 34	1883.3	 7.5	120.0	10.0	36.6	 5.0	15.76	 2.38	    7	10.59	I	 9.0	 2.7	 3.8	-0.96	FUVW4 	 	 6.72	 1.83	     	12m+7m+TP	 0.65	 49.6	 0.7	 14.3	 99	 30	  1.8	93.8	F	179.9	F	  1	  1	  4	  5	  1	Simbad	NED	LEDA
      65	NGC4654   	 	12 43 56.6	+13 07 36	1051.5	 5.0	123.2	 1.0	55.6	 5.9	21.98	 1.14	   11	10.57	I	15.1	 5.6	 4.0	 0.58	FUVW4 	 	 8.84	 1.18	 9.75	12m+7m+TP	 1.72	182.8	 8.1	330.1	 52	   	  6.6	82.7	 	     	 	  1	  1	 12	  6	  2	Simbad	NED	LEDA
      66	NGC4689   	 	12 47 45.6	+13 45 46	1614.2	 5.0	164.1	 0.3	38.7	 2.7	15.00	 2.26	2,3,4	10.24	I	 8.3	 4.7	 3.0	-0.39	W4ONLY	 	 8.22	 1.19	 8.54	12m+7m+TP	 1.18	 86.0	 5.8	111.0	111	 63	  6.7	51.5	 	 62.7	 	  1	  1	 11	  5	  1	Simbad	NED	LEDA
      67	NGC4694   	 	12 48 15.0	+10 59 01	1168.4	 5.0	143.3	 2.0	60.7	 6.0	15.76	 2.38	    7	 9.90	I	 4.6	 1.9	 1.6	-0.81	FUVW4 	 	 7.41	 1.30	 8.51	12m+7m+TP	 1.17	 89.3	 1.1	 23.9	143	 82	  8.4	24.8	F	 28.9	F	  1	  1	  3	  1	  1	Simbad	NED	LEDA
      68	NGC4731   	 	12 51 01.2	-06 23 34	1483.6	 5.0	255.4	 2.0	64.0	 6.0	13.28	 2.11	    7	 9.50	I	12.2	 7.3	 3.0	-0.22	FUVW4 	 	 7.29	 2.52	 9.44	12m+7m+TP	 1.53	 98.4	 3.9	 58.7	 39	 23	  3.9	42.6	F	 47.2	F	  0	  1	  5	  3	  2	Simbad	NED	LEDA
      69	NGC4781   	 	12 54 23.8	-10 32 14	1248.3	 5.0	290.0	 1.3	59.0	 3.8	11.31	 1.18	    7	 9.64	I	 6.1	 2.0	 1.1	-0.32	FUVW4 	 	 7.82	 1.05	 8.94	12m+7m+TP	 1.31	 71.7	 5.4	 58.0	 46	 20	  3.4	65.4	 	 75.6	 	  1	  1	  7	  4	  3	Simbad	NED	LEDA
      70	NGC4826   	 	12 56 43.6	+21 41 00	 409.7	 5.0	293.6	 1.2	59.1	 0.9	 4.41	 0.19	    5	10.24	I	 6.7	 1.5	 1.1	-0.69	FUVW4 	 	 7.79	 1.28	 8.26	12m+7m+TP	 1.26	 26.9	 6.4	 10.6	 77	 18	  5.3	87.6	 	 93.6	 	  0	  1	  7	  6	  2	Simbad	NED	LEDA
      71	NGC4941   	 	13 04 13.1	-05 33 06	1116.0	 5.0	202.2	 0.6	53.4	 1.1	15.00	 5.00	    7	10.18	I	 7.3	 3.4	 2.2	-0.35	FUVW4 	 	 7.80	 1.27	 8.49	12m+7m+TP	 1.59	115.3	 3.5	 66.2	 40	 28	  4.4	57.0	 	 63.3	 	  1	  1	  5	  2	  2	Simbad	NED	LEDA
      72	NGC4951   	 	13 05 07.7	-06 29 38	1176.1	 5.0	 91.2	 0.5	70.2	 2.2	15.00	 4.19	    2	 9.79	I	 6.9	 1.9	 1.9	-0.46	FUVW4 	 	 7.65	 1.22	 9.21	12m+7m+TP	 1.25	 91.2	 2.8	 53.2	 91	 54	  6.2	47.7	 	 52.4	 	  1	  1	  5	  2	  1	Simbad	NED	LEDA
      73	NGC4945   	X	13 05 27.3	-49 28 04	 559.3	 2.7	 43.8	10.0	90.0	 5.0	 3.47	 0.12	    6	10.36	W	11.8	 4.5	 1.6	 0.19	W4ONLY	 	 8.77	 0.97	 8.92	7m+TP    	 7.90	132.9	61.5	 62.7	 40	 32	107.3	85.1	 	 87.1	 	  0	  1	  6	  3	  0	Simbad	NED	LEDA
      74	NGC5042   	 	13 15 31.0	-23 59 02	1385.6	 5.0	190.6	 0.8	49.4	 8.6	16.78	 2.53	  3,4	 9.90	I	10.2	 3.3	 2.4	-0.22	FUVW4 	 	 7.69	 1.84	 9.29	12m+7m+TP	 1.33	107.8	 3.5	 83.4	 79	 54	  6.0	28.1	 	 31.2	 	  1	  0	  4	  2	  1	Simbad	NED	LEDA
      75	NGC5068   	 	13 18 54.7	-21 02 19	 667.2	 5.0	342.4	 3.2	35.7	10.9	 5.20	 0.22	    5	 9.41	I	 5.7	 2.0	 1.3	-0.56	FUVW4 	 	 7.26	 1.38	 8.82	12m+7m+TP	 1.04	 26.2	15.3	 35.0	185	 38	  8.7	33.4	 	 46.5	 	  1	  1	 20	  8	  2	Simbad	NED	LEDA
      76	NGC5134   	 	13 25 18.5	-21 08 03	1749.1	 5.0	311.6	 2.0	22.7	 6.0	19.92	 2.69	    7	10.41	I	 7.9	 2.9	 2.1	-0.34	FUVW4 	 	 7.98	 1.14	 8.92	12m+7m+TP	 1.23	119.0	 2.8	 94.7	 87	 66	  5.7	41.3	 	 45.6	 	  1	  1	  3	  2	  1	Simbad	NED	LEDA
      77	NGC5128   	 	13 25 27.6	-43 01 09	 549.5	 5.7	 32.2	10.0	45.3	 5.0	 3.69	 0.13	    6	10.97	W	13.7	 4.7	 4.1	 0.09	FUVW4 	 	 8.40	 0.98	 8.43	7m+TP    	 8.13	145.5	60.0	 69.2	 35	 35	100.9	76.8	 	 76.8	 	  0	  1	  8	  7	  1	Simbad	NED	LEDA
      78	NGC5236   	 	13 37 00.9	-29 51 56	 509.4	 2.1	225.0	10.0	24.0	 5.0	 4.89	 0.18	    6	10.53	I	 9.7	 3.5	 2.4	 0.62	FUVW4 	 	 8.84	 1.14	 9.98	12m+7m+TP	 2.14	 50.7	56.7	114.7	 43	 16	  8.6	87.8	 	 92.1	 	  1	  1	  0	 57	 16	Simbad	NED	LEDA
      79	NGC5248   	 	13 37 32.0	+08 53 07	1163.0	 5.0	109.2	 3.5	47.4	16.3	14.87	 1.32	    7	10.41	I	 8.8	 3.2	 2.0	 0.36	FUVW4 	 	 8.77	 1.14	 9.50	12m+7m+TP	 1.29	 93.1	 8.5	159.4	 92	 62	  6.6	71.8	 	 76.2	 	  1	  1	 13	  8	  2	Simbad	NED	LEDA
      80	ESO097-013	X	14 13 09.9	-65 20 21	 430.3	 5.2	 36.7	10.0	64.3	 5.0	 4.20	 0.77	    1	10.53	W	 5.3	 1.9	 1.8	 0.61	W4ONLY	 	 8.42	 1.40	 9.81	7m+TP    	 7.32	149.0	23.4	 34.9	 55	 55	128.1	77.1	 	 77.7	 	  0	  1	  2	  2	  0	Simbad	NED	LEDA
      81	NGC5530   	 	14 18 27.3	-43 23 18	1183.2	 5.0	305.4	 1.0	61.9	 2.6	12.27	 1.85	  3,4	10.08	W	 8.6	 3.4	 1.7	-0.48	W4ONLY	 	 7.89	 1.34	 9.11	12m+7m+TP	 1.13	 66.9	 5.7	 72.0	114	 56	  6.2	47.5	 	 57.3	 	  0	  0	  9	  4	  1	Simbad	NED	LEDA
      82	NGC5643   	 	14 32 40.8	-44 10 29	1191.3	 5.0	318.7	 2.0	29.9	 6.0	12.68	 0.54	    6	10.34	W	 9.7	 3.5	 1.6	 0.41	W4ONLY	 	 8.56	 1.06	 9.12	12m+7m+TP	 1.30	 79.9	10.6	143.7	 77	 43	  5.6	69.7	 	 76.0	 	  0	  1	 21	  8	  2	Simbad	NED	LEDA
      83	NGC6300   	 	17 16 59.5	-62 49 14	1102.1	 5.0	105.4	 2.3	49.6	 5.8	11.58	 1.75	  3,4	10.47	W	 9.0	 3.6	 2.1	 0.29	W4ONLY	 	 8.46	 1.12	 9.13	12m+7m+TP	 1.08	 60.4	 7.8	 88.2	116	 54	  5.8	64.7	 	 73.0	 	  0	  1	  9	  7	  2	Simbad	NED	LEDA
      84	NGC6744   	 	19 09 46.1	-63 51 27	 832.3	 5.0	 14.0	 0.2	52.7	 2.2	 9.39	 0.42	    5	10.72	W	21.4	 7.0	 4.8	 0.38	FUVW4 	 	 8.27	 2.75	10.31	12m+7m+TP	 1.13	 51.6	15.8	118.2	187	 69	 10.4	35.8	 	 60.3	 	  0	  1	 20	  5	  2	Simbad	NED	LEDA
      85	IC5273    	 	22 59 26.7	-37 42 10	1286.0	 5.0	234.1	 2.0	52.0	 2.1	14.18	 2.14	  3,4	 9.73	I	 6.3	 2.5	 1.3	-0.27	FUVW4 	 	 7.63	 1.14	 8.95	12m+7m+TP	 1.76	120.7	 3.5	 60.2	 33	 25	  4.4	53.0	 	 56.1	 	  1	  1	  6	  3	  2	Simbad	NED	LEDA
      86	NGC7456   	 	23 02 10.3	-39 34 10	1192.3	 5.0	 16.0	 2.9	67.3	 4.3	15.70	 2.33	    2	 9.65	I	 9.4	 4.4	 2.9	-0.43	FUVW4 	 	 7.13	 2.02	 9.28	12m+7m+TP	 1.68	127.8	 2.2	 45.7	 40	 32	  4.9	31.6	F	 33.9	F	  1	  1	  3	  1	  2	Simbad	NED	LEDA
      87	NGC7496   	 	23 09 47.3	-43 25 40	1639.2	 5.0	193.7	 4.2	35.9	 6.0	18.72	 2.82	  3,4	10.00	I	 9.1	 3.8	 1.5	 0.35	FUVW4 	 	 8.33	 1.15	 9.07	12m+7m+TP	 1.68	152.0	 4.4	129.7	 36	 36	  4.3	73.3	 	 73.3	 	  1	  1	  9	  3	  2	Simbad	NED	LEDA
      88	IC5332    	 	23 34 27.5	-36 06 04	 699.3	 2.3	 74.4	10.0	26.9	 5.0	 9.01	 0.40	    5	 9.68	I	 8.0	 3.6	 2.8	-0.39	FUVW4 	 	 7.09	 2.26	 9.30	12m+7m+TP	 0.74	 32.1	 7.8	 53.4	366	102	  8.6	 2.5	F	  7.1	F	  1	  1	  9	  3	  1	Simbad	NED	LEDA
      89	NGC7743   	X	23 44 21.1	+09 56 02	1687.3	 5.4	 86.2	10.0	37.1	 5.0	20.32	 2.80	 2,13	10.36	I	 7.7	 2.9	 1.9	-0.67	FUVW4 	 	 7.50	 2.65	 8.50	12m+7m+TP	 0.64	 63.2	 0.7	 23.6	 76	 26	  1.3	58.1	F	 60.8	F	  0	  1	  5	  5	  2	Simbad	NED	LEDA
      90	NGC7793   	X	23 57 49.8	-32 35 28	 222.1	 2.3	290.0	10.0	50.0	 5.0	 3.62	 0.15	    6	 9.36	I	 5.5	 1.9	 1.1	-0.57	FUVW4 	 	 7.23	 1.34	 8.70	7m+TP    	 7.99	140.2	41.2	 45.7	 34	 34	 94.9	32.3	 	 32.3	 	  1	  1	  5	  2	  4	Simbad	NED	LEDA

